,430,571,cd,,
*0.5*,70,30,51.4,4.29,11.98135198
*0.6*,76,24,39.5,4.29,9.207459207
*0.7*,82,18,,4.29,0
*0.8*,88,12,16.6,4.29,3.869463869
*0.9*,94,6,,4.29,0
*1.0*,100,0,4.29,4.29,1

,450,571,cd,,
*0.5*,70,30,,10.4,0
*0.6*,76,24,43.3,10.4,4.163461538
*0.7*,82,18,,10.4,0
*0.8*,88,12,32.4,10.4,3.115384615
*0.9*,94,6,,10.4,0
*1.0*,100,0,10.4,10.4,1

,470,575,cd,,
*0.5*,74,26,,22.8,0
*0.6*,79,21,47.3,22.8,2.074561404
*0.7*,84,16,,22.8,0
*0.8*,90,10,29.4,22.8,1.289473684
*0.9*,95,5,,22.8,0
*1.0*,100,0,22.8,22.8,1

,490,601,cd,,
*0.5*,84,16,,48.8,0
*0.6*,87,13,53.7,48.8,1.100409836
*0.7*,90,10,,48.8,0
*0.8*,94,6,48.8,48.8,1
*0.9*,97,3,,48.8,0
*1.0*,100,0,49.8,48.8,1.020491803

,570,433,cd,,
*0.5*,80,20,,143,0
*0.6*,84,16,143,143,1
*0.7*,88,12,,143,0
*0.8*,92,8,156,143,1.090909091
*0.9*,96,4,,143,0
*1.0*,100,0,167,143,1.167832168

,590,487,cd,,
*0.5*,68,32,,110,0
*0.6*,74,26,110,110,1
*0.7*,81,19,,110,0
*0.8*,87,13,119,110,1.081818182
*0.9*,94,6,,110,0
*1.0*,100,0,134,110,1.218181818

,610,492,cd,,
*0.5*,66,34,,78.6,0
*0.6*,73,27,78.6,78.6,1
*0.7*,79,21,,78.6,0
*0.8*,86,14,81.3,78.6,1.034351145
*0.9*,93,7,,78.6,0
*1.0*,100,0,90.5,78.6,1.151399491

,630,494,cd,,
*0.5*,70,30,,45.8,0
*0.6*,76,24,48.1,45.8,1.050218341
*0.7*,82,18,,45.8,0
*0.8*,88,12,45.8,45.8,1
*0.9*,94,6,,45.8,0
*1.0*,100,0,49.3,45.8,1.076419214

,650,494,cd,,
*0.5*,78,22,,19.7,0
*0.6*,83,17,23.2,19.7,1.177664975
*0.7*,87,13,,19.7,0
*0.8*,91,9,19.7,19.7,1
*0.9*,96,4,,19.7,0
*1.0*,100,0,21.4,19.7,1.086294416

,670,494,cd,,
*0.5*,89,11,,6.73,0
*0.6*,91,9,6.73,6.73,1
*0.7*,94,6,,6.73,0
*0.8*,96,4,7.85,6.73,1.166419019
*0.9*,98,2,,6.73,0
*1.0*,100,0,8.15,6.73,1.210995542
